r,phi,z
4152,98355,188
7694,105631,308
6071,101618,168
8206,92808,128
8810,115005,348
4108,90530,408
4872,101050,388
3554,116358,408
5955,100991,408
7376,105970,328
4808,100066,348
7849,113693,248
2638,86357,208
7108,136775,408
4231,93173,268
8456,109985,188
7757,90710,128
4063,93161,288
5368,102198,228
7862,104827,288
3546,100557,308
4186,120258,428
8770,98934,168
4962,92195,348
3624,104429,168
8760,114870,348
7206,124702,408
6731,114488,268
3055,118790,408
3226,87527,388
4266,89423,288
2891,115328,368
8498,103381,248
8674,117273,388
2735,90593,208
7092,119395,368
4686,122088,428
8690,111877,368
4070,110306,228
3218,96820,228
7555,134180,408
8528,112938,328
8498,99131,308
5754,104449,408
4656,87932,188
7382,106935,268
2574,103862,168
4562,108510,288
6039,91469,148
4966,97555,228
6085,94010,208
5727,119342,328
4439,98738,148
5942,107931,368
7885,95846,208
3098,95281,248
4137,98349,573
7679,105637,693
6055,101637,553
8191,92802,513
8795,115038,733
4093,90483,793
4857,101056,773
3539,116352,793
5939,100972,793
7361,105976,713
4793,100072,733
7833,113712,633
2623,86310,593
7093,136822,793
4215,93154,653
8441,110032,573
7741,90691,513
4047,93142,673
5353,102231,613
7847,104833,673
3531,100590,693
4171,120252,813
8755,98928,553
4947,92148,733
3609,104476,553
8745,114903,733
7191,124669,793
6715,114507,653
3039,118809,793
3211,87480,773
4251,89376,673
2875,115347,753
8483,103387,633
8659,117306,773
2719,90574,593
7077,119362,753
4671,122082,813
8675,111883,753
4055,110353,613
3203,96787,613
7539,134199,793
8513,112971,713
8483,99084,693
5739,104455,793
4641,87885,573
7367,106968,653
2559,103909,553
4547,108504,673
6023,91450,533
4951,97561,613
6069,93991,593
5711,119361,713
4423,98757,533
5927,107964,753
7869,95827,593
3083,95287,633
4152,98355,893
7694,105631,1013
6071,101618,873
8206,92808,833
8810,115005,1053
4108,90530,1113
4872,101050,1093
3554,116358,1113
5955,100991,1113
7376,105970,1033
4808,100066,1053
7849,113693,953
2638,86357,913
7108,136775,1113
4231,93173,973
8456,109985,893
7757,90710,833
4063,93161,993
5368,102198,933
7862,104827,993
3546,100557,1013
4186,120258,1133
8770,98934,873
4962,92195,1053
3624,104429,873
8760,114870,1053
7206,124702,1113
6731,114488,973
3055,118790,1113
3226,87527,1093
4266,89423,993
2891,115328,1073
8498,103381,953
8674,117273,1093
2735,90593,913
7092,119395,1073
4686,122088,1133
8690,111877,1073
4070,110306,933
3218,96820,933
7555,134180,1113
8528,112938,1033
8498,99131,1013
5754,104449,1113
4656,87932,893
7382,106935,973
2574,103862,873
4562,108510,993
6039,91469,853
4966,97555,933
6085,94010,913
5727,119342,1033
4439,98738,853
5942,107931,1073
7885,95846,913
3098,95281,953
2391,92454,1182
2391,94537,1242
2391,96621,1172
2391,92454,1152
2393,98703,1262
2395,86208,1292
2391,94537,1282
2391,92454,1292
2391,90370,1292
2391,94537,1252
2391,94537,1262
2391,96621,1212
2395,86208,1192
2395,100783,1292
2391,90370,1222
2395,100783,1182
2391,90370,1152
2391,90370,1232
2393,98703,1202
2391,94537,1232
2393,98703,1242
2391,92454,1302
2391,92454,1172
2395,86208,1262
2395,100783,1172
2393,98703,1262
2393,88288,1292
2391,96621,1222
2391,96621,1292
2395,86208,1282
2395,86208,1232
2391,96621,1272
2391,94537,1212
2393,98703,1282
2391,90370,1192
2393,88288,1272
2391,92454,1302
2391,94537,1272
2395,100783,1202
2393,88288,1202
2391,96621,1292
2393,98703,1252
2395,86208,1242
2391,94537,1292
2395,86208,1182
2393,98703,1222
2395,100783,1172
2391,92454,1232
2391,90370,1162
2391,94537,1202
2391,90370,1192
2391,96621,1252
2391,96621,1162
2393,98703,1272
2391,90370,1192
2391,94537,1212
2406,92460,1568
0,0,90
640,0,20
2406,92460,1538
0,0,110
2410,86255,1678
0,0,130
2406,92460,1678
2407,90389,1678
0,0,100
0,0,110
640,0,60
2410,86255,1578
640,0,140
2407,90389,1608
640,0,30
2407,90389,1538
2407,90389,1618
0,0,50
0,0,80
0,0,90
2406,92460,1688
2406,92460,1558
2410,86255,1648
640,0,20
0,0,110
2408,88321,1678
640,0,70
640,0,140
2410,86255,1668
2410,86255,1618
640,0,120
0,0,60
0,0,130
2407,90389,1578
2408,88321,1658
2406,92460,1688
0,0,120
640,0,50
2408,88321,1588
640,0,140
0,0,100
2410,86255,1628
0,0,140
2410,86255,1568
0,0,70
640,0,20
2406,92460,1618
2407,90389,1548
0,0,50
2407,90389,1578
640,0,100
640,0,10
0,0,120
2407,90389,1578
0,0,60
640,0,30
0,0,90
640,0,20
640,0,0
0,0,110
0,0,140
0,0,130
640,0,140
0,0,140
0,0,100
0,0,110
640,0,60
0,0,40
640,0,140
0,0,70
640,0,30
0,0,0
0,0,80
0,0,50
0,0,80
0,0,90
640,0,150
640,0,20
0,0,110
640,0,20
0,0,110
640,0,140
640,0,70
640,0,140
0,0,130
0,0,80
640,0,120
0,0,60
0,0,130
0,0,40
640,0,120
640,0,150
0,0,120
640,0,50
640,0,50
640,0,140
0,0,100
0,0,90
0,0,140
0,0,30
0,0,70
640,0,20
640,0,80
0,0,10
0,0,50
0,0,40
640,0,100
640,0,10
0,0,120
0,0,40
0,0,60
640,0,30
0,0,90
640,0,20
640,0,0
0,0,110
0,0,140
0,0,130
640,0,140
0,0,140
0,0,100
0,0,110
640,0,60
0,0,40
640,0,140
0,0,70
640,0,30
0,0,0
0,0,80
0,0,50
0,0,80
0,0,90
640,0,150
640,0,20
0,0,110
640,0,20
0,0,110
640,0,140
640,0,70
640,0,140
0,0,130
0,0,80
640,0,120
0,0,60
0,0,130
0,0,40
640,0,120
640,0,150
0,0,120
640,0,50
640,0,50
640,0,140
0,0,100
0,0,90
0,0,140
0,0,30
0,0,70
640,0,20
640,0,80
0,0,10
0,0,50
0,0,40
640,0,100
640,0,10
0,0,120
0,0,40
0,0,60
640,0,30
0,0,90
640,0,20
640,0,0
0,0,110
0,0,140
0,0,130
640,0,140
0,0,140
0,0,100
0,0,110
640,0,60
0,0,40
640,0,140
0,0,70
640,0,30
0,0,0
0,0,80
0,0,50
0,0,80
0,0,90
640,0,150
640,0,20
0,0,110
640,0,20
0,0,110
640,0,140
640,0,70
640,0,140
0,0,130
0,0,80
640,0,120
0,0,60
0,0,130
0,0,40
640,0,120
640,0,150
0,0,120
640,0,50
640,0,50
640,0,140
0,0,100
0,0,90
0,0,140
0,0,30
0,0,70
640,0,20
640,0,80
0,0,10
0,0,50
0,0,40
640,0,100
640,0,10
0,0,120
0,0,40
0,0,60
775,91383,1198
900,256,90
3598,78848,21
775,91383,1168
3231,0,135
0,0,140
900,256,130
775,91383,1308
1376,87381,2108
900,256,100
900,256,110
3598,78848,61
0,0,40
3841,0,147
1376,87381,2038
3841,0,37
1376,87381,1968
1376,87381,2048
3231,0,75
900,256,80
3231,0,115
775,91383,1318
775,91383,1188
0,0,110
3841,0,27
3231,0,135
65,0,140
3598,78848,71
3598,78848,141
0,0,130
0,0,80
3598,78848,121
900,256,60
3231,0,155
1376,87381,2008
65,0,120
775,91383,1318
900,256,120
3841,0,57
65,0,50
3598,78848,141
3231,0,125
0,0,90
900,256,140
0,0,30
3231,0,95
3841,0,27
775,91383,1248
1376,87381,1978
900,256,50
1376,87381,2008
3598,78848,101
3598,78848,11
3231,0,145
1376,87381,2008
900,256,60
2056,0,65
136,0,94
2440,0,56
2056,0,35
584,0,115
2946,0,145
136,0,134
2056,0,175
8,0,143
136,0,104
