header,data
9,91692cff4966
10,31692617f957
3,1d1898002696a
6,91796d175957
3,f189800c696a
b,1b16926189957
d,b1795afe0967
3,1d17149279957
2,51795a030967
0,5189af1bb95b
11,715901044968
3,3150c01ed95b
a,1d17143008966
b,716926297957
6,d16115026967
9,9150c021f95b
4,71816e062968
7,51796d233957
a,71692c0c6966
b,1b1818f16b959
11,171692c094966
d,b1818f247959
e,f150ef0a896a
c,5158e026f959
11,191795a10c967
4,1d1796d233957
7,1517143008966
b,15189af1e395b
8,1f1714306c966
d,9158e0201959
3,31692c044966
5,17169261c5957
3,91816e062968
5,317149229957
4,1715901ff4968
6,1f171491ed957
5,1d1692c026966
4,13150c028395b
2,151611504e967
6,31610221f957
7,15150ef0f896a
b,f17149247957
d,7150ef01296a
1,d1818f283959
2,1f150ef06296a
b,1f17149215957
1,117143012966
1,131796d17f957
c,717143026966
8,13150c01f795b
e,1715901030968
9,1116926233957
0,19150ef05896a
9,17189af17595b
d,71590103a968
11,171796d297957
3,31898003a96a
b,1158e01c5959
0,f150effea96a
4,1d1796d1c5957
7,115901030968
10,5150c016195b
10,517143008966
2,11158e020b959
11,b1692cff4966
f,191796d229957
b,d171430d0966
2,d158e0161959
11,1518980fea96a
10,1d1796d28d957
2,5150ef00896a
1,17158e028d959
c,15159010bc968
9,1317149201957
d,11150ef05896a
8,19150c01c595b
2,111692c04e966
e,13150c018995b
4,f150ef11696a
b,5158e028d959
9,1d1898010296a
4,171714917f957
a,1d159010a8968
c,11714916b957
f,1916115fe0967
a,151796d1cf957
7,131898004496a
1,171714928d957
f,b1795a0bc967
f,191818f28d959
2,151692c06c966
0,1d16102247957
8,11816e062968
8,111818f233959
b,7150ef03096a
e,71714926f957
a,19159010f8968
a,1717149161957
1,b159010c6968
a,b16926189957
7,1d1898004496a
5,1b1610225b957
4,91714306c966
10,1d1796d23d957
6,1f1795a0f8967
5,13158e0251959
a,1517143026966
8,d171491a7957
8,f1714306c966
8,d17149193957
8,1d15901fe0968
d,716926247957
4,b16115fea967
7,1b1796d283957
b,1161150e4967
2,1d189af20b95b
